train_loss_discriminator,train_loss_generator,val_loss
0.9208481713627161,1.0116013663538386,0.0018826969200745225
0.8097863023200732,0.891520497504245,0.002299682190641761
0.7612406658322624,0.8541198888521516,0.0017750050872564315
0.7371031139673812,0.8273411587382971,0.0020725592970848084
0.7242392448896773,0.8083857204137224,0.0016842859098687769
0.7172300011924143,0.7967848047781526,0.002566644083708525
0.7086908556102367,0.7961745744340876,0.0018430012045428158
0.7051517695523379,0.7881885398639722,0.001947136502712965
0.7032254586059056,0.7843928457645888,0.0018731845542788506
0.701728745792689,0.7828166069609396,0.0019144875928759574
0.7009567377272616,0.7773627317353581,0.0016914446838200091
0.7001897364519956,0.7760203467326218,0.001762086129747331
0.6986493595530477,0.7777929426578993,0.002007055445574224
0.6980447963382421,0.7765798126713613,0.0018137652426958085
0.6974005833100737,0.7724061795834745,0.0018241933081299066
0.6973810678117731,0.7722129674440019,0.0015632084803655743
0.6971438694536016,0.7768501559000337,0.001708787912502885
0.6967362748103195,0.774880015448238,0.0021238961722701787
0.6967799268411786,0.7758610610211834,0.00187508596573025
0.6963563179701902,0.7744337795825487,0.002076237928122282
0.6963535453496354,0.7747342760643262,0.0016956540057435632
0.6961487786153729,0.7657845261391629,0.002357063535600901
0.6957484510507477,0.7711509975154748,0.0017265015048906207
0.6956755847073672,0.7693056872721469,0.0015548121184110642
0.6956423614801985,0.7665079651253947,0.0017875475576147437
0.6954048503650708,0.7685545026586297,0.0016521126730367542
0.6954832626192757,0.7672738071238057,0.001729076518677175
0.6955235566985741,0.7750921383332671,0.0020600282354280353
0.6954269797614451,0.769774842128325,0.0017839407082647085
0.695229361566265,0.764220123880365,0.002288097562268376
0.6955839730380626,0.7720135691460599,0.0017986960709095
0.6952935403652405,0.7705484427762835,0.001972825941629708
0.6951735361238544,0.7688946409171886,0.0018192329909652472
0.6949592005001025,0.7687342287449355,0.001560073345899582
0.6950058629003804,0.7648780031150646,0.0017516968538984657
0.6951243723376413,0.7673462595832482,0.0016961489338427782
0.6951150532518879,0.7657519920488421,0.001634811470285058
0.6944654617416725,0.7712609285718939,0.0019309741677716375
0.6947763073310423,0.7706919305779961,0.0017231123289093374
0.6948486593332184,0.7679412465416984,0.0016072565456852316
0.6947957143354951,0.7700753580318408,0.0020053078653290866
0.6946034726132168,0.778136853421672,0.0019910896895453333
0.6945897307288781,0.7647706457738126,0.0016463323961943388
0.6954122955879468,0.7657492401894559,0.001640359777957201
0.6955051931102624,0.765936992811353,0.0020259201060980558
0.6946555590361692,0.7668124544486571,0.001657361234538257
0.6943779085459334,0.7641169710105724,0.0017070549540221692
0.6942999229002534,0.7622385962625567,0.001870867982506752
0.6942112867751818,0.7583518255962415,0.0017314685974270105
0.6944396489121941,0.7608375736836637,0.001571163022890687
0.6942429542541504,0.7639176303081299,0.001792329060845077
0.6943369032291884,0.7649885148144839,0.0016642830334603787
0.694263725468282,0.7647402467352621,0.0018348215380683541
0.6945890590046229,0.7682271593072442,0.0018199978163465857
0.6947543091988295,0.7622943848706363,0.002162774698808789
0.6945935099312429,0.7664578577105918,0.001768899755552411
0.6941095965631893,0.7628683849666895,0.001713712653145194
0.6943133372939034,0.7630271275391739,0.0019967067055404186
0.6953547931789013,0.7669289239336935,0.0016581615433096885
0.6955172841468554,0.7594808487409956,0.001523251412436366
0.6946764876333515,0.7618217943759447,0.0017081433441489934
0.6942432167824735,0.7574170184939095,0.001635971083305776
0.6941891982314292,0.7648159513312779,0.0017474080668762326
0.6942830012085732,0.7642236747098773,0.0015735551249235868
0.6939876467994089,0.7593644710069292,0.002078145509585738
0.6940586392799121,0.7663746683785085,0.0014839126029983162
0.6943396791983186,0.7629435109288505,0.0016358819557353854
0.6941107545006141,0.7642266777124298,0.0019744479330256583
0.6939584150742949,0.7655878535817179,0.001681650266982615
0.6938523871175358,0.7570485251673152,0.0015750384191051126
0.6938097101918766,0.7632830973421589,0.001582031394354999
0.6938293181108625,0.7593009070064245,0.001606578822247684
0.693813742546553,0.7600060661187332,0.0014911752892658114
0.6938375355152602,0.7632921860459145,0.0020088575081899764
0.6939354485340332,0.7662584734766671,0.0016346767079085112
0.6937919151916933,0.7650647471460064,0.0018138772808015346
0.6940011402194419,0.7645812898539426,0.0015473492443561555
0.6941587442762396,0.7608947539597415,0.001984318858012557
0.6939013607046577,0.762236487999391,0.0015369671396911143
0.6943387382485894,0.759293178494057,0.0014764130115509032
0.6939422869950198,0.7636136419317695,0.001630471763201058
