train_loss_discriminator,train_loss_generator,train_loss_generator_l1,val_loss
0.8411533687990453,1.2925203428955614,0.011432182132176439,0.014086002402979395
0.7242949570419499,1.1855821383229876,0.011596605397747773,0.01346757040237603
0.7056051382700044,1.1716249615530139,0.01167509322969639,0.012772720550065455
0.7008597377314509,1.1250371922508065,0.010615003812462354,0.01217100538475358
0.6983289603399266,1.1209939605112864,0.010570841000099487,0.01209043545405502
0.697392914751921,1.1236613224177034,0.010661007836461067,0.012520354767532452
0.6962801810936685,1.120034735315923,0.010595621603339753,0.01178443148408247
0.696255773148763,1.1073506211564075,0.010280793540913004,0.012423696644280268
0.6955601816018143,1.1108095599813075,0.010382955451946058,0.013001741355528002
0.6959101347177435,1.118633729292764,0.010569932369714987,0.011100206929056541
0.6962060026418555,1.1035366697344922,0.0101833315909904,0.012638877226930597
0.696173240095115,1.1131212187567578,0.010421369152768844,0.01259960278706706
0.694597716176447,1.0961692674717292,0.01004096432891797,0.011939146596452465
0.6955895191336767,1.1180979549780043,0.010564281795049488,0.013558564829113691
0.694646627915555,1.104732571042066,0.0102537880686025,0.01246581505984068
0.6951782550459796,1.1033789166666712,0.01020422385046373,0.01337227087629878
0.6957911544189721,1.1326828139109018,0.010922551981659577,0.013037071198872898
0.6942455070928027,1.1255703018503576,0.010781533931020274,0.011659351825390173
0.6949862581145785,1.100957492952397,0.010147407549467783,0.011753207922953627
0.6953192315537398,1.1013673843524578,0.0101492851465181,0.01246059762880854
0.6947729051217882,1.1025258874641781,0.010194564781598551,0.011834592113028402
0.6950658865678918,1.0907899788687225,0.009895018784751582,0.013520860518126385
0.6943194386410169,1.0840137174552689,0.009741574746797186,0.012154788710176945
0.6950243483109299,1.136289957747099,0.011029246937555567,0.012434704674650793
0.6947744736981517,1.108465806880609,0.01034194075703778,0.01327846766166065
0.6943116816569297,1.0940473639064179,0.009994909231123795,0.01283513948969219
0.6949080820661857,1.096180524264572,0.01003108349725316,0.012242022294389166
0.6945204762038112,1.1092807171843382,0.010368293745407216,0.012442425095840641
0.6952467531437195,1.0932516553070926,0.009948409420253155,0.01309849670075852
0.6945819226216348,1.0892086571674984,0.009866213340881839,0.012896041912229164
0.694196650034933,1.102817543152137,0.010214570410523453,0.01323784555753936
0.6951333586067642,1.0826578420997715,0.009685526790198835,0.013374251839907272
0.6943807985325898,1.0936533637960264,0.009979552279188836,0.014743837811376738
0.6944103213730931,1.0908366837694272,0.009910252595055187,0.012868499869237776
0.6945051761419366,1.0961671078770776,0.010039960661074817,0.013210250145715216
0.6942558313715018,1.0933122821348622,0.009975492058940534,0.01239062667540882
0.6946979631229528,1.0879776165648798,0.009829349467213313,0.011972769973394663
0.6942852655906878,1.0853511082476597,0.009774731712739895,0.011984948352303194
0.6944492062282059,1.1211323608204016,0.010665696435108755,0.012859579337679821
0.6947976366497302,1.1136229107375724,0.010466003628457473,0.012704024739239527
0.6953401060640707,1.1104600488196776,0.010379568155632339,0.012377254664897919
0.6938238575504618,1.0799028369580086,0.009651198875165572,0.012868126125439354
0.694479093400791,1.0946605394091882,0.010002372333017196,0.011859478428959846
0.69450570221316,1.0865842045296266,0.009801078884025973,0.012865798709833103
0.6948707973181887,1.4401175284427583,0.018612868150922033,0.012883445571946062
0.6938568523353349,1.1266822622195278,0.010817121526124922,0.012486614043945852
0.6936027976456761,1.0976815091704653,0.010098460294070584,0.0117729301361934
0.6951376111729493,1.104189995512602,0.010223305224390251,0.01231001220319582
0.6939555297626971,1.0824460331710655,0.00970935714324717,0.012346686754861603
0.6945892515836156,1.090385753576282,0.00989173427518778,0.011973797100717607
0.6943783667887871,1.0766082671069932,0.009554039392299518,0.012344270944595337
0.6941957718877675,1.084452290526593,0.009754123202212457,0.012039945825286533
0.6946541650224025,1.088908646353938,0.00985436509273331,0.011978611471536367
0.6944780571808505,1.0868039512466672,0.009805521598783026,0.011926399948804275
0.6943960141632805,1.0770379168706534,0.009563006860038727,0.011507343865283157
0.6941278760169218,1.087995808237676,0.009843483678538267,0.011994066769662111
0.6944340948270787,1.0847673349095563,0.009757460599113747,0.012664410488113113
0.6942341342332703,1.0831648765004163,0.009724154922724923,0.01204713061451912
0.6937843075117034,1.0819364991464597,0.009701997748787248,0.012121860504798267
0.6953371451064446,1.0674529716712937,0.009300205884386764,0.012393084314206371
0.6938819175026328,1.085428951494723,0.009788106645740608,0.012281340344444565
0.6939720817316186,1.0754619725768721,0.009535687252132776,0.011874951219753078
0.6951748214413286,1.073818237794095,0.009461763445844444,0.012017292739904446
0.6937842142812397,1.0746931133035615,0.009520791724703957,0.012469759129959604
0.6942348564027273,1.0725346604633834,0.009455509005877171,0.012133358532319899
0.6944628935078117,1.0822458110081918,0.009691660192603596,0.012444747530895731
0.694089033377401,1.0692573942911856,0.0093775180631656,0.011565311892848948
0.6944529298948278,1.0741654322310785,0.009489671125850904,0.011763182347235472
0.6940814878902871,1.0693713191942507,0.009381034208530387,0.01146523233341134
0.6946933492625326,1.0827548241992409,0.009698729493994076,0.011494334301222925
0.6937151701043905,1.0751503236683475,0.009533354452760441,0.012365953389393248
0.6939387554024561,1.0820254868907961,0.009698426251108177,0.011981793557820112
0.6948335209504581,1.0815438901602907,0.009665266142565567,0.01241864948331014
0.6943816010478511,1.078656402539285,0.009603344825520351,0.013747889629524687
0.6943245790964271,1.0731069679209972,0.009470234075086502,0.012833676624881185
0.6939216286520128,1.0685688174462276,0.009364511684296892,0.012609787973696772
0.6947090670806871,1.154206125095146,0.011479385480323973,0.012214098287665325
0.6941043867587205,1.1104066545808253,0.010407011937972008,0.042987801134586334
0.6958242495575353,1.851326476920049,0.028710850358978305,0.02017208399332088
0.693693557397343,1.2904508046818952,0.014834998100210368,0.014402238490140957
0.6944070611352032,1.1446263440254494,0.011244360701244828,0.012875134044367334
0.6946047751890964,1.1209383532535842,0.010629239025638686,0.013235456512674042
0.693298403324268,1.208281736172775,0.012848535794862963,0.018791313809545143
0.6932817756186889,1.2741943700451843,0.014395860329872695,0.01869062115640744
0.6957547396473809,1.204907164213318,0.012647607650195358,0.013260638503276783
0.6934379676523862,1.1493880005000137,0.011343018837626664,0.013931145567608915
0.694207584397026,1.1216354673901845,0.010678413715246273,0.013099089345854261
0.6934980977398649,1.1177998533986364,0.010591245618090689,0.013002138746821362
0.7086269405059948,1.7048340920614233,0.023986466083289346,0.0213202901346528
0.6927149367039149,1.3841578388465519,0.017144703805472814,0.01540454116690418
0.6928030269217198,1.250785829312772,0.013840266554133545,0.014639980281176775
0.6933528960065389,1.2052487629369188,0.012736833613424812,0.014957291479020016
0.6932448902951394,1.1961880920222439,0.012497189641326194,0.015828281276575897
0.6934106975322448,1.1441466663759496,0.011224336347662187,0.013159668073058128
0.6931338903145547,1.1357949779406582,0.01103939800826024,0.013418173862864142
0.6936288862530083,1.1477582827603252,0.011295016575113646,0.01400447065901497
0.6931309555452612,1.138269969574806,0.011093357172000806,0.013016549384464388
0.6935743998559372,1.1280073679603886,0.01081620642394875,0.012487653237969978
0.6932283388499845,1.1062954037805433,0.01028076029318812,0.012694149156627447
0.6936750812145025,1.1130659873540036,0.010453033959902235,0.012007952019896196
0.6928430270855372,1.113082060914467,0.01045562622999946,0.01266120932996273
0.6939405108587604,1.1164853970908113,0.010506242732983902,0.012689161235871523
0.6930846496499905,1.0997338114807182,0.010105559225922519,0.012914167109714903
0.6939073757044251,1.1095823353329946,0.010353490145572564,0.013409706804415455
0.6938167131638485,1.0911963698315075,0.009902908825209144,0.012286956786461498
0.6934975288245296,1.1043484322006547,0.010220633669116375,0.0124677581631619
0.6939665131493487,1.0951281687496837,0.009984476329768585,0.012959350183930086
0.6938897578703708,1.090146902156421,0.009870365535372275,0.013235219430340372
0.693256054381285,1.089026513962838,0.009851157603055397,0.012862789282656235
0.693812053526223,1.0835253490504984,0.009696409191366658,0.012522526611776455
0.6940955639095004,1.0936781048565212,0.009928325479211832,0.014538240578511486
0.6937485914448234,1.0835423901127177,0.00974127794296754,0.013607171688066877
0.6940638331830606,1.0894782306439847,0.009834966458615917,0.013482311821502188
0.6933669356763468,1.085086899189203,0.009763441634526467,0.013596155923669752
0.6941334408280719,1.0805200397025512,0.00961759485965611,0.01359922268792339
0.6935541886436918,1.0724733529484753,0.009446024094333443,0.013667807792839796
0.6937296352822249,1.0803684708523205,0.00962664037517326,0.013623591188503347
0.6936330302947434,1.0842122149593172,0.009727217841350026,0.013755609240868816
0.6942725589070043,1.0784711154776843,0.009554545414717524,0.013651585084912569
0.6938016389501535,1.0908429111453897,0.00988330808918275,0.013481948362744373
0.693522690574398,1.0767470424330297,0.009550710791404406,0.013662503870285076
0.6940409265628807,1.087795539354817,0.00980110522948847,0.012854585464557877
0.6934272442634998,1.0869889894143558,0.009791974693549853,0.013709284243700296
0.6939093036894639,1.0852418478008732,0.009732573936400389,0.01349148895267559
0.6936273210287514,1.0829486968437692,0.009658892840304148,0.013215083871846613
0.6938868778870688,1.0929621018089604,0.009893742262308857,0.01472617503579544
0.6941388943911856,1.0823940639965144,0.009658111632524977,0.012865612769256468
0.6936991221037397,1.076561469394838,0.009537777570460928,0.012788613569801268
0.6935373611735124,1.0890142615943466,0.009828952502832472,0.01332098719380472
0.6936063339085906,1.080418873964588,0.009637236172866947,0.012997085390531498
0.6943755602375694,1.0848434038447161,0.009721628815812993,0.013373490180010382
0.693390428705668,1.066866399743226,0.009310618475053349,0.012951705483314783
0.6938878083061459,1.0764266635914888,0.00951976125964957,0.012856137452890043
0.6934115499100911,1.079573341119897,0.009596155959661061,0.01263889848538067
0.6944446779512563,1.0632264408788699,0.00913963283237024,0.012744813631086246
0.6935534085456433,1.0821273020994056,0.009663765979947126,0.013128288859582466
0.6938075496567992,1.0616669152030207,0.009124151182234915,0.012479291135526222
0.693599154534365,1.0629171581385635,0.009186671093361605,0.01296728574063467
0.6935346636705113,1.0839171541596129,0.009709279720715667,0.01305667059900968
0.694126611434722,1.0944984003194396,0.00996260277547191,0.012758000227420227
0.6932802998537757,1.079303834685542,0.009582733599590186,0.01235447552702997
0.6936488321250688,1.088078796549296,0.009718202213267345,0.012919022985126661
0.6940690708495612,1.0755102517106203,0.009433172160337282,0.013304761044033196
0.6935914688872956,1.0702228298924719,0.009421279899422439,0.013179788406452408
0.6935625118195278,1.0717224676705412,0.009394567996682517,0.01270962526778812
0.6941708636409578,1.064709503328025,0.009228675951935704,0.012072348197841126
0.6934474379819391,1.0823529952439777,0.009689402362243362,0.013263951825058979
0.693823589381937,1.071968704200168,0.00939744606741781,0.013240330609614435
0.6940537047930887,1.0796675141540688,0.009565690684546381,0.012855851536859636
0.6932855059895239,1.0694182889113737,0.009348619379011524,0.012042144475423771
0.6938471292359967,1.0627944685243764,0.009161873339218708,0.012180278563629026
0.6934920018293317,1.076639918535162,0.00952921634595612,0.01314979512244463
0.6934993635791048,1.0788484139266459,0.009585709261964935,0.012942636385560036
0.6941733349815195,1.056887886226701,0.00902200120980794,0.013491281024787737
0.6932609986337082,1.0736569011148542,0.009443471542116,0.0122581058708222
0.6943173574018562,1.0799866642390488,0.00951042009913649,0.012445282191038132
0.6936799193518024,1.0742297327581316,0.009387697577672913,0.01340123589919961
0.6933871164053731,1.0847821447258466,0.009713011677581523,0.013665368699509165
0.6934308479875588,1.0785200181032526,0.009547676910729734,0.012589472953392111
0.6935102289087534,1.0702659268789845,0.00933710597488237,0.013105335442916206
0.6932583191482798,1.0808062174198707,0.009623624510434579,0.013072470284026602
0.6930268759886703,1.1099875587151633,0.010270501118683648,0.014617645627130632
0.6937713963495198,1.1092145011378927,0.010260385425142642,0.013791460746332355
0.6929448266859004,1.073023557034444,0.009391295587765101,0.01352000856043204
0.6935471914355071,1.0844243195019203,0.009679109398242878,0.013842035287424274
0.6934063247092369,1.0656548336226828,0.00925246387006476,0.013356706613431807
0.69317070126324,1.0741278754386834,0.00944760851627494,0.012592214848036352
0.6931359204340903,1.0802950322732774,0.009572023465273565,0.012166797426407751
0.6934939289763439,1.0702210817689006,0.009333267302198339,0.012619301150350468
0.6936555782395214,1.0870915102413963,0.009654189065517776,0.013022328524485878
0.6931427257341743,1.0781551285242574,0.009553509459933936,0.012939945268242256
0.6929783980331019,1.075279214993931,0.009490022819607088,0.012563943053069323
0.6936330070395043,1.0913423892693277,0.009818384464771237,0.011588758465064608
0.6947632819571269,1.094415210881426,0.009790961301651488,0.01280530647415182
0.6934554655438777,1.0833454706128327,0.009676869408684162,0.011781844108001045
0.6929416872286001,1.0773211392870268,0.009513479045318908,0.01239359411208526
